Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2007,381,2,36,"H3","060499",8,1272,1272,12311,0
2007,381,1,36,"H3","060499",8,7250,7250,41331,0
2007,381,1,36,"H3","060491",8,100,100,1535,0
2007,381,2,36,"H3","051110",1,,6,67402,0
2007,381,1,36,"H3","0510",8,146864,146864,1964853,0
2007,381,2,36,"H3","050510",8,741,741,31268,0
2007,381,2,36,"H3","0505",8,741,741,31268,0
2007,381,1,36,"H3","050400",8,138366,138366,1936849,0
2007,381,1,36,"H3","0504",8,138366,138366,1936849,0
2007,381,2,36,"H3","0501",8,128,128,282532,0
2007,381,1,36,"H3","041000",8,6000,6000,141892,0
2007,381,1,36,"H3","0410",8,6000,6000,141892,0
2007,381,2,36,"H3","0408",8,474,474,3773,0
2007,381,2,36,"H3","040690",8,2381888,2381888,22160618,0
2007,381,1,36,"H3","040690",8,6195,6195,26255,0
2007,381,2,36,"H3","040640",8,67740,67740,578769,0
2007,381,2,36,"H3","040630",8,44445,44445,390297,0
2007,381,2,36,"H3","040610",8,413226,413226,3617969,0
2007,381,2,36,"H3","040510",8,1850,1850,11930,0
2007,381,2,36,"H3","0405",8,1850,1850,11930,0
2007,381,2,36,"H3","040310",8,2016,2016,28074,0
2007,381,2,36,"H3","0403",8,2016,2016,28074,0
2007,381,2,36,"H3","040130",8,349,349,986,0
2007,381,2,36,"H3","0401",8,349,349,986,0
2007,381,2,36,"H3","04",1,,,27246717,0
2007,381,1,36,"H3","04",1,,,168147,0
2007,381,1,36,"H3","030799",8,30765,30765,91998,0
2007,381,1,36,"H3","0307",8,30765,30765,91998,0
2007,381,1,36,"H3","0306",8,21189,21189,293709,0
2007,381,2,36,"H3","030569",8,3892,3892,31272,0
2007,381,2,36,"H3","0305",8,29532,29532,308158,0
2007,381,1,36,"H3","030380",8,53160,53160,1039474,0
2007,381,1,36,"H3","020423",8,231,231,3685,0
2007,381,1,36,"H3","020422",8,8648,8648,170085,0
2007,381,1,36,"H3","0204",8,8879,8879,173770,0
2007,381,1,36,"H3","020321",8,39736,39736,155258,0
2007,381,2,36,"H3","020319",8,5147,5147,91417,0
2007,381,1,36,"H3","051000",8,146864,146864,1964853,0
2007,381,1,36,"H3","030621",8,3080,3080,137878,0
2007,381,1,36,"H3","030613",8,17748,17748,148393,0
2007,381,1,36,"H3","07",1,,,2799980,0
2007,381,2,36,"H3","07",1,,,1351781,0
2007,381,2,36,"H3","0604",8,1272,1272,12311,0
2007,381,1,36,"H3","0604",8,7350,7350,42866,0
2007,381,1,36,"H3","0603",1,,7350,37816,0
2007,381,2,36,"H3","060290",8,39,39,6906,0
2007,381,1,36,"H3","060290",8,101329,101329,255246,0
2007,381,2,36,"H3","0602",1,,39,6906,0
2007,381,1,36,"H3","0602",1,,101329,255246,0
2007,381,2,36,"H3","06",1,,,19217,0
2007,381,1,36,"H3","06",1,,,335928,0
2007,381,2,36,"H3","050100",8,128,128,282532,0
2007,381,2,36,"H3","05",1,,,443241,0
2007,381,1,36,"H3","05",1,,,5507174,0
2007,381,2,36,"H3","030530",8,800,800,6385,0
2007,381,1,36,"H3","0303",8,109065,109065,1437867,0
2007,381,1,36,"H3","030269",8,17738,17738,255285,0
2007,381,2,36,"H3","03",1,,,319074,0
2007,381,1,36,"H3","03",1,,,2078859,0
2007,381,2,36,"H3","021011",8,15686,15686,262997,0
2007,381,2,36,"H3","0210",8,124079,124079,2147152,0
2007,381,1,36,"H3","0210",8,1412,1412,22269,0
2007,381,1,36,"H3","020890",8,97240,97240,524339,0
2007,381,1,36,"H3","0208",8,97240,97240,524339,0
2007,381,1,36,"H3","020329",8,32261,32261,179305,0
2007,381,2,36,"H3","020312",8,1112,1112,20557,0
2007,381,1,36,"H3","020312",8,320,320,2836,0
2007,381,1,36,"H3","020130",8,97019,97019,523076,0
2007,381,2,36,"H3","020110",8,1200,1200,13859,0
2007,381,2,36,"H3","0201",8,1200,1200,13859,0
2007,381,1,36,"H3","0201",8,97019,97019,523076,0
2007,381,2,36,"H3","010690",1,,24,2743,0
2007,381,1,36,"H3","010690",1,,10,2041,0
2007,381,2,36,"H3","0106",1,,54,4114,0
2007,381,1,36,"H3","0106",1,,10,2041,0
2007,381,2,36,"H3","040620",8,54707,54707,440134,0
2007,381,1,36,"H3","060390",8,7350,7350,37816,0
2007,381,2,36,"H3","0511",1,,17008,129441,0
2007,381,1,36,"H3","050800",8,151594,151594,1605472,0
2007,381,1,36,"H3","0508",8,151594,151594,1605472,0
2007,381,2,36,"H3","040900",8,1040,1040,14168,0
2007,381,2,36,"H3","0409",8,1040,1040,14168,0
2007,381,2,36,"H3","040899",8,474,474,3773,0
2007,381,2,36,"H3","0406",8,2962006,2962006,27187787,0
2007,381,1,36,"H3","0406",8,6195,6195,26255,0
2007,381,1,36,"H3","030629",8,111,111,3101,0
2007,381,1,36,"H3","030619",8,250,250,4338,0
2007,381,2,36,"H3","030563",8,24840,24840,270501,0
2007,381,1,36,"H3","071320",8,132000,132000,108005,0
2007,381,1,36,"H3","071331",8,133250,133250,122171,0
2007,381,1,36,"H3","030379",8,55905,55905,398392,0
2007,381,2,36,"H3","030261",8,750,750,10916,0
2007,381,2,36,"H3","0302",8,750,750,10916,0
2007,381,1,36,"H3","0302",8,17738,17738,255285,0
2007,381,2,36,"H3","021019",8,108393,108393,1884155,0
2007,381,1,36,"H3","021019",8,1412,1412,22269,0
2007,381,2,36,"H3","071331",8,18720,18720,22016,0
2007,381,2,36,"H3","071390",8,8160,8160,5735,0
2007,381,2,36,"H3","0203",8,6259,6259,111974,0
2007,381,1,36,"H3","0203",8,72317,72317,337399,0
2007,381,2,36,"H3","02",1,,,2272985,0
2007,381,1,36,"H3","02",1,,,1580854,0
2007,381,2,36,"H3","010619",1,,30,1371,0
2007,381,2,36,"H3","01",1,,,4114,0
2007,381,1,36,"H3","01",1,,,2041,0
2007,381,2,36,"H3","070200",8,7738,7738,6311,0
2007,381,2,36,"H3","0802",8,4600,4600,25316,0
2007,381,2,36,"H3","0702",8,7738,7738,6311,0
